DRUG 1,DRUG 2,MECHANISM OF INTERACTION,ALTERNATIVES,RISK RATING
FLURBIPROFEN,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
FLURBIPROFEN,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
FLURBIPROFEN,WARFARIN,Increased anticoagulant effect due to additive effects,Apixaban,D
FLUVASTATIN,WARFARIN,Increased anticoagulant effect due to CYP2C9 inhibition,Apixaban,D
FLUVASTATIN,GEMFIBROZIL,Increased risk of myopathy due to altered metabolism,Fenofibrate,D
FLUVASTATIN,RIFAMPICIN,Rifampicin may decrease the serum concentration of Fluvastatin. MOA: Induction of CYP3A4,Consult prescriber,D
FUROSEMIDE,AMIKACIN,Additive ototoxicity and nephrotoxicity,Torsemide,X
FUROSEMIDE,CELECOXIB,Decreased diuretic effect due to prostaglandin inhibition,Torsemide,D
FUROSEMIDE,DIGOXIN,Increased risk of digoxin toxicity due to hypokalemia,Torsemide,D
FUROSEMIDE,LITHIUM,Increased lithium levels due to reduced renal clearance,Torsemide,D
GABAPENTIN,ALCOHOL,Additive CNS depression,Separate the doses,D
GABAPENTIN,MORPHINE,Increased gabapentin levels due to reduced clearance,Separate the doses,D
GEMFIBROZIL,ATORVASTATIN,Increased risk of myopathy due to altered metabolism,Fenofibrate,D
GEMFIBROZIL,SIMVASTATIN,Increased risk of myopathy due to altered metabolism,Fenofibrate,X
GEMFIBROZIL,WARFARIN,Increased anticoagulant effect due to displacement from protein binding,Apixaban,D
GLICLAZIDE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Gliclazide. MOA: Induction of CYP2C9,Consult prescriber,D
GLICLAZIDE,FLUCONAZOLE,Fluconazole may increase the serum concentration of Gliclazide. MOA: Inhibition of CYP2C9,Itraconazole,D
GLIMEPIRIDE,FLUCONAZOLE,Fluconazole may increase the serum concentration of Glimepiride. MOA: Inhibition of CYP2C9,Itraconazole,D
GLIMEPIRIDE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Glimepiride. MOA: Induction of CYP2C9,Consult prescriber,D
HYDRALAZINE,NITRATES,Increased risk of hypotension,Consult prescriber,D
HYDROCHLOROTHIAZIDE,LITHIUM,Increased lithium levels due to reduced renal clearance,Loop diuretics,D
HYDROCHLOROTHIAZIDE,POTASSIUM SUPPLEMENTS,Increased risk of hyperkalemia,Consult prescriber,D
HYDROXYCHLOROQUINE,DIGOXIN,Increased digoxin levels due to altered clearance,Metoprolol,D
HYDROXYCHLOROQUINE,TAMOXIFEN,Increased risk of retinal toxicity,Consult prescriber,D
HYDROXYZINE,ALCOHOL,Additive CNS depression,Separate the doses,D
IBUPROFEN,ASPIRIN,Decreased antiplatelet effect of aspirin,Paracetamol,D
IBUPROFEN,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
IBUPROFEN,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
IBUPROFEN,WARFARIN,Increased anticoagulant effect due to additive effects,Apixaban,D
INDOMETHACIN,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
INDOMETHACIN,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
INDOMETHACIN,WARFARIN,Increased anticoagulant effect due to additive effects,Apixaban,D
ISONIAZID,CARBAMAZEPINE,Increased carbamazepine levels due to inhibition of metabolism,Consult prescriber,D
ISONIAZID,PHENYTOIN,Increased phenytoin levels due to inhibition of metabolism,Levetiracetam,D
ISONIAZID,RIFAMPICIN,Rifampicin may decrease the serum concentration of Isoniazid. MOA: Induction of metabolism,Consult prescriber,D
ITRACONAZOLE,ATORVASTATIN,Itraconazole may increase the serum concentration of Atorvastatin. MOA: Inhibition of CYP3A4,Fluconazole,D
ITRACONAZOLE,CARBAMAZEPINE,Itraconazole may increase the serum concentration of Carbamazepine. MOA: Inhibition of CYP3A4,Fluconazole,D
ITRACONAZOLE,CYCLOSPORINE,Increased cyclosporine levels due to CYP3A4 inhibition,Fluconazole,D
ITRACONAZOLE,DIGOXIN,Increased digoxin levels due to P-glycoprotein inhibition,Fluconazole,D
ITRACONAZOLE,SIMVASTATIN,Itraconazole may increase the serum concentration of Simvastatin. MOA: Inhibition of CYP3A4,Pravastatin,X
ITRACONAZOLE,WARFARIN,Increased anticoagulant effect due to CYP3A4 inhibition,Apixaban,D
KETOCONAZOLE,ATORVASTATIN,Ketoconazole may increase the serum concentration of Atorvastatin. MOA: Inhibition of CYP3A4,Itraconazole,D
KETOCONAZOLE,CARBAMAZEPINE,Ketoconazole may increase the serum concentration of Carbamazepine. MOA: Inhibition of CYP3A4,Itraconazole,D
KETOCONAZOLE,CYCLOSPORINE,Increased cyclosporine levels due to CYP3A4 inhibition,Itraconazole,D
KETOCONAZOLE,SIMVASTATIN,Ketoconazole may increase the serum concentration of Simvastatin. MOA: Inhibition of CYP3A4,Pravastatin,D
KETOCONAZOLE,WARFARIN,Increased anticoagulant effect due to CYP3A4 inhibition,Apixaban,D
KETOPROFEN,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
KETOPROFEN,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
KETOPROFEN,WARFARIN,Increased anticoagulant effect due to additive effects,Apixaban,D
KETOROLAC,ASPIRIN,Increased risk of gastrointestinal bleeding,Paracetamol,D
KETOROLAC,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
KETOROLAC,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
KETOROLAC,WARFARIN,Increased anticoagulant effect due to additive effects,Apixaban,D
LAMOTRIGINE,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Lamotrigine. MOA: Induction of metabolism,Levetiracetam,D
LAMOTRIGINE,PHENYTOIN,Phenytoin may decrease the serum concentration of Lamotrigine. MOA: Induction of metabolism,Levetiracetam,D
LAMOTRIGINE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Lamotrigine. MOA: Induction of metabolism,Consult prescriber,D
LAMOTRIGINE,VALPROATE,Increased lamotrigine levels due to inhibition of metabolism,Levetiracetam,D
LEVETIRACETAM,CARBAMAZEPINE,Additive CNS depression,Consult prescriber,D
LEVETIRACETAM,PHENYTOIN,Additive CNS depression,Consult prescriber,D
LEVOCETIRIZINE,ALCOHOL,Additive CNS depression,Separate the doses,D
LEVOFLOXACIN,IRON,Chelation reducing levofloxacin absorption,Separate the doses,D
LEVOFLOXACIN,THEOPHYLLINE,Potential increase in theophylline levels due to altered metabolism,Consult prescriber,D
LEVOFLOXACIN,WARFARIN,Potential increase in anticoagulant effect due to altered metabolism,Apixaban,D
LEVOTHYROXINE,IRON,Chelation reducing levothyroxine absorption,Separate the doses,D
LEVOTHYROXINE,CALCIUM,Chelation reducing levothyroxine absorption,Separate the doses,D
LIDOCAINE,CIMETIDINE,Cimetidine may increase the serum concentration of Lidocaine. MOA: Inhibition of metabolism,Ranitidine,D
LINEZOLID,CITALOPRAM,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,X
LINEZOLID,ESCITALOPRAM,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,X
LINEZOLID,FLUOXETINE,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,X
LINEZOLID,PAROXETINE,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,X
LINEZOLID,SERTRALINE,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,X
LISINOPRIL,POTASSIUM SUPPLEMENTS,Increased risk of hyperkalemia,Consult prescriber,D
LITHIUM,ACECLOFENAC,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
LITHIUM,IBUPROFEN,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
LITHIUM,THIAZIDE DIURETICS,Increased lithium levels due to reduced renal clearance,Loop diuretics,D
LORAZEPAM,ALCOHOL,Additive CNS depression,Separate the doses,D
LOSARTAN,RIFAMPICIN,Rifampicin may decrease the serum concentration of Losartan. MOA: Induction of CYP2C9,Consult prescriber,D
MEFENAMIC ACID,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
MEFENAMIC ACID,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
MEFENAMIC ACID,WARFARIN,Increased anticoagulant effect due to additive effects,Apixaban,D
MELOXICAM,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
MELOXICAM,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
MELOXICAM,WARFARIN,Increased anticoagulant effect due to additive effects,Apixaban,D
METFORMIN,CIMETIDINE,Increased metformin levels due to reduced renal clearance,Ranitidine,D
METHYLPREDNISOLONE,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Methylprednisolone. MOA: Induction of CYP3A4,Consult prescriber,D
METHYLPREDNISOLONE,CLARITHROMYCIN,Clarithromycin may increase the serum concentration of Methylprednisolone. MOA: Inhibition of CYP3A4,Azithromycin,D
METHYLPREDNISOLONE,ERYTHROMYCIN,Erythromycin may increase the serum concentration of Methylprednisolone. MOA: Inhibition of CYP3A4,Azithromycin,D
METHYLPREDNISOLONE,ITRACONAZOLE,Itraconazole may increase the serum concentration of Methylprednisolone. MOA: Inhibition of CYP3A4,Fluconazole,D
METHYLPREDNISOLONE,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Methylprednisolone. MOA: Inhibition of CYP3A4,Itraconazole,D
METHYLPREDNISOLONE,PHENYTOIN,Phenytoin may decrease the serum concentration of Methylprednisolone. MOA: Induction of CYP3A4,Consult prescriber,D
METHYLPREDNISOLONE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Methylprednisolone. MOA: Induction of CYP3A4,Consult prescriber,D
METOCLOPRAMIDE,CYCLOSPORINE,Increased cyclosporine absorption due to enhanced gastric motility,Itopride,D
METOCLOPRAMIDE,DIGOXIN,Decreased digoxin absorption due to enhanced gastric motility,Itopride,D
METRONIDAZOLE,ALCOHOL,Disulfiram-like reaction due to inhibition of aldehyde dehydrogenase,Avoid alcohol,X
METRONIDAZOLE,WARFARIN,Increased anticoagulant effect due to CYP2C9 inhibition,Apixaban,D
MIDAZOLAM,CLARITHROMYCIN,Clarithromycin may increase the serum concentration of Midazolam. MOA: Inhibition of CYP3A4,Azithromycin,D
MIDAZOLAM,ERYTHROMYCIN,Erythromycin may increase the serum concentration of Midazolam. MOA: Inhibition of CYP3A4,Azithromycin,D
MIDAZOLAM,ITRACONAZOLE,Itraconazole may increase the serum concentration of Midazolam. MOA: Inhibition of CYP3A4,Fluconazole,D
MIDAZOLAM,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Midazolam. MOA: Inhibition of CYP3A4,Itraconazole,D
MIDAZOLAM,RIFAMPICIN,Rifampicin may decrease the serum concentration of Midazolam. MOA: Induction of CYP3A4,Consult prescriber,D
MINOCYCLINE,IRON,Chelation reducing minocycline absorption,Separate the doses,D
MORPHINE,ALCOHOL,Additive CNS depression,Separate the doses,D
NABUMETONE,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
NABUMETONE,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
NABUMETONE,WARFARIN,Increased anticoagulant effect due to additive effects,Apixaban,D
NAPROXEN,ASPIRIN,Increased risk of gastrointestinal bleeding,Paracetamol,D
NAPROXEN,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
NAPROXEN,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
NAPROXEN,WARFARIN,Increased anticoagulant effect due to additive effects,Apixaban,D
NIFEDIPINE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Nifedipine. MOA: Induction of CYP3A4,Amlodipine,D
NIMESULIDE,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
NIMESULIDE,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
NIMESULIDE,WARFARIN,Increased anticoagulant effect due to additive effects,Apixaban,D
NITROFURANTOIN,PROBENECID,Decreased nitrofurantoin efficacy due to reduced renal secretion,Consult prescriber,D
NORFLOXACIN,IRON,Chelation reducing norfloxacin absorption,Separate the doses,D
NORFLOXACIN,THEOPHYLLINE,Potential increase in theophylline levels due to altered metabolism,Consult prescriber,D
OFLOXACIN,IRON,Chelation reducing ofloxacin absorption,Separate the doses,D
OFLOXACIN,THEOPHYLLINE,Potential increase in theophylline levels due to altered metabolism,Consult prescriber,D
OLANZAPINE,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Olanzapine. MOA: Induction of CYP1A2,Consult prescriber,D
OLANZAPINE,PHENYTOIN,Phenytoin may decrease the serum concentration of Olanzapine. MOA: Induction of metabolism,Consult prescriber,D
OLANZAPINE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Olanzapine. MOA: Induction of CYP1A2,Consult prescriber,D
OMEPRAZOLE,CLARITHROMYCIN,Clarithromycin may increase the serum concentration of Omeprazole. MOA: Inhibition of CYP3A4,Pantoprazole,D
OMEPRAZOLE,CLOPIDOGREL,Omeprazole may decrease the serum concentration of Clopidogrel active metabolite. MOA: Inhibition of CYP2C19,Pantoprazole,D
OMEPRAZOLE,DIAZEPAM,Omeprazole may increase the serum concentration of Diazepam. MOA: Inhibition of CYP2C19,Pantoprazole,D
ONDANSETRON,TRAMADOL,Decreased efficacy of tramadol due to serotonin antagonism,Consult prescriber,D
OXCARBAZEPINE,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Oxcarbazepine. MOA: Induction of metabolism,Levetiracetam,D
OXCARBAZEPINE,PHENYTOIN,Phenytoin may decrease the serum concentration of Oxcarbazepine. MOA: Induction of metabolism,Levetiracetam,D
OXCARBAZEPINE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Oxcarbazepine. MOA: Induction of metabolism,Consult prescriber,D
PANTOPRAZOLE,DIAZEPAM,Pantoprazole may increase the serum concentration of Diazepam. MOA: Inhibition of CYP2C19,Rabeprazole,D
PARACETAMOL,ALCOHOL,Increased risk of hepatotoxicity,Separate the doses,D
PAROXETINE,LINEZOLID,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,X
PAROXETINE,TAMOXIFEN,Decreased efficacy of tamoxifen due to CYP2D6 inhibition,Venlafaxine,D
PAROXETINE,TRAMADOL,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,D
PENICILLIN,PROBENECID,Increased penicillin levels due to reduced renal clearance,Consult prescriber,D
PHENOBARBITAL,CARBAMAZEPINE,Phenobarbital may decrease the serum concentration of Carbamazepine. MOA: Induction of metabolism,Levetiracetam,D
PHENOBARBITAL,PHENYTOIN,Phenobarbital may decrease the serum concentration of Phenytoin. MOA: Induction of metabolism,Levetiracetam,D
PHENOBARBITAL,RIFAMPICIN,Rifampicin may decrease the serum concentration of Phenobarbital. MOA: Induction of metabolism,Consult prescriber,D
PHENOBARBITAL,VALPROATE,Phenobarbital may decrease the serum concentration of Valproate. MOA: Induction of metabolism,Levetiracetam,D
PHENYLEPHRINE,MAO INHIBITORS,Increased risk of hypertensive crisis,Consult prescriber,X
PHENYTOIN,CARBAMAZEPINE,Phenytoin may decrease the serum concentration of Carbamazepine. MOA: Induction of metabolism,Levetiracetam,D
PHENYTOIN,CIMETIDINE,Cimetidine may increase the serum concentration of Phenytoin. MOA: Inhibition of metabolism,Ranitidine,D
PHENYTOIN,FLUCONAZOLE,Fluconazole may increase the serum concentration of Phenytoin. MOA: Inhibition of CYP2C9,Itraconazole,D
PHENYTOIN,ISONIAZID,Increased phenytoin levels due to inhibition of metabolism,Levetiracetam,D
PHENYTOIN,RIFAMPICIN,Rifampicin may decrease the serum concentration of Phenytoin. MOA: Induction of CYP2C9,Consult prescriber,D
PHENYTOIN,VALPROATE,Phenytoin may decrease the serum concentration of Valproate. MOA: Induction of metabolism,Levetiracetam,D
PIROXICAM,ASPIRIN,Increased risk of gastrointestinal bleeding,Paracetamol,D
PIROXICAM,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
PIROXICAM,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
PIROXICAM,WARFARIN,Increased anticoagulant effect due to additive effects,Apixaban,D
PRASUGREL,WARFARIN,Increased risk of bleeding due to additive anticoagulant effects,Apixaban,D
PREDNISOLONE,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Prednisolone. MOA: Induction of CYP3A4,Consult prescriber,D
PREDNISOLONE,PHENYTOIN,Phenytoin may decrease the serum concentration of Prednisolone. MOA: Induction of CYP3A4,Consult prescriber,D
PREDNISOLONE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Prednisolone. MOA: Induction of CYP3A4,Consult prescriber,D
PROPRANOLOL,RIFAMPICIN,Rifampicin may decrease the serum concentration of Propranolol. MOA: Induction of metabolism,Metoprolol,D
PYRAZINAMIDE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Pyrazinamide. MOA: Induction of metabolism,Consult prescriber,D
QUETIAPINE,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Quetiapine. MOA: Induction of CYP3A4,Consult prescriber,D
QUETIAPINE,PHENYTOIN,Phenytoin may decrease the serum concentration of Quetiapine. MOA: Induction of CYP3A4,Consult prescriber,D
QUETIAPINE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Quetiapine. MOA: Induction of CYP3A4,Consult prescriber,D
QUININE,THEOPHYLLINE,Potential increase in theophylline levels due to altered metabolism,Consult prescriber,D
RIFAMPICIN,ATORVASTATIN,Rifampicin may decrease the serum concentration of Atorvastatin. MOA: Induction of CYP3A4,Consult prescriber,D
RIFAMPICIN,CARBAMAZEPINE,Rifampicin may decrease the serum concentration of Carbamazepine. MOA: Induction of CYP3A4,Consult prescriber,D
RIFAMPICIN,SIMVASTATIN,Rifampicin may decrease the serum concentration of Simvastatin. MOA: Induction of CYP3A4,Consult prescriber,D
RIFAMPICIN,WARFARIN,Rifampicin may decrease the serum concentration of Warfarin. MOA: Induction of CYP2C9,Apixaban,D
RISPERIDONE,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Risperidone. MOA: Induction of CYP3A4,Consult prescriber,D
RISPERIDONE,PHENYTOIN,Phenytoin may decrease the serum concentration of Risperidone. MOA: Induction of CYP3A4,Consult prescriber,D
RISPERIDONE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Risperidone. MOA: Induction of CYP3A4,Consult prescriber,D
SALBUTAMOL,PROPRANOLOL,Decreased bronchodilation due to beta-blockade,Metoprolol,X
SERTRALINE,ASPIRIN,Increased risk of bleeding due to serotonergic effects,Paracetamol,D
SERTRALINE,LINEZOLID,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,X
SERTRALINE,TRAMADOL,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,D
SIMVASTATIN,AMLODIPINE,Increased simvastatin levels due to CYP3A4 inhibition,Pravastatin,D
SIMVASTATIN,CLARITHROMYCIN,Clarithromycin may increase the serum concentration of Simvastatin. MOA: Inhibition of CYP3A4,Pravastatin,X
SIMVASTATIN,DILTIAZEM,Diltiazem may increase the serum concentration of Simvastatin. MOA: Inhibition of CYP3A4,Pravastatin,D
SIMVASTATIN,ERYTHROMYCIN,Erythromycin may increase the serum concentration of Simvastatin. MOA: Inhibition of CYP3A4,Pravastatin,D
SIMVASTATIN,GEMFIBROZIL,Increased risk of myopathy due to altered metabolism,Fenofibrate,X
SIMVASTATIN,ITRACONAZOLE,Itraconazole may increase the serum concentration of Simvastatin. MOA: Inhibition of CYP3A4,Pravastatin,X
SIMVASTATIN,RIFAMPICIN,Rifampicin may decrease the serum concentration of Simvastatin. MOA: Induction of CYP3A4,Consult prescriber,D
SIMVASTATIN,VERAPAMIL,Verapamil may increase the serum concentration of Simvastatin. MOA: Inhibition of CYP3A4,Pravastatin,D
SITAGLIPTIN,RIFAMPICIN,Rifampicin may decrease the serum concentration of Sitagliptin. MOA: Induction of metabolism,Consult prescriber,D
SPIRONOLACTONE,POTASSIUM SUPPLEMENTS,Increased risk of hyperkalemia,Consult prescriber,D
TACROLIMUS,CLARITHROMYCIN,Increased tacrolimus levels due to CYP3A4 inhibition,Azithromycin,D
TACROLIMUS,ERYTHROMYCIN,Increased tacrolimus levels due to CYP3A4 inhibition,Azithromycin,D
TACROLIMUS,ITRACONAZOLE,Increased tacrolimus levels due to CYP3A4 inhibition,Fluconazole,D
TACROLIMUS,KETOCONAZOLE,Increased tacrolimus levels due to CYP3A4 inhibition,Itraconazole,D
TACROLIMUS,RIFAMPICIN,Rifampicin may decrease the serum concentration of Tacrolimus. MOA: Induction of CYP3A4,Consult prescriber,D
TELMISARTAN,RIFAMPICIN,Rifampicin may decrease the serum concentration of Telmisartan. MOA: Induction of metabolism,Consult prescriber,D
TENOXICAM,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
TENOXICAM,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
TENOXICAM,WARFARIN,Increased anticoagulant effect due to additive effects,Apixaban,D
TERBINAFINE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Terbinafine. MOA: Induction of CYP2C9,Consult prescriber,D
THEOPHYLLINE,CIPROFLOXACIN,Ciprofloxacin may increase the serum concentration of Theophylline. MOA: Inhibition of CYP1A2,Levofloxacin,D
THEOPHYLLINE,CLARITHROMYCIN,Clarithromycin may increase the serum concentration of Theophylline. MOA: Inhibition of CYP3A4,Azithromycin,D
THEOPHYLLINE,ERYTHROMYCIN,Erythromycin may increase the serum concentration of Theophylline. MOA: Inhibition of CYP3A4,Azithromycin,D
THEOPHYLLINE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Theophylline. MOA: Induction of CYP1A2,Consult prescriber,D
THYROXINE,IRON,Chelation reducing thyroxine absorption,Separate the doses,D
TICAGRELOR,CLARITHROMYCIN,Clarithromycin may increase the serum concentration of Ticagrelor. MOA: Inhibition of CYP3A4,Azithromycin,D
TICAGRELOR,RIFAMPICIN,Rifampicin may decrease the serum concentration of Ticagrelor. MOA: Induction of CYP3A4,Consult prescriber,D
TIZANIDINE,CIPROFLOXACIN,Increased tizanidine levels due to CYP1A2 inhibition,Consult prescriber,X
TOPIRAMATE,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Topiramate. MOA: Induction of metabolism,Levetiracetam,D
TOPIRAMATE,PHENYTOIN,Phenytoin may decrease the serum concentration of Topiramate. MOA: Induction of metabolism,Levetiracetam,D
TORSEMIDE,DIGOXIN,Increased risk of digoxin toxicity due to hypokalemia,Consult prescriber,D
TRAMADOL,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Tramadol active metabolite. MOA: Induction of CYP3A4,Consult prescriber,D
TRAMADOL,PHENYTOIN,Phenytoin may decrease the serum concentration of Tramadol active metabolite. MOA: Induction of CYP3A4,Consult prescriber,D
TRAZODONE,LINEZOLID,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,X
VALPROATE,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Valproate. MOA: Induction of metabolism,Levetiracetam,D
VALPROATE,PHENYTOIN,Phenytoin may decrease the serum concentration of Valproate. MOA: Induction of metabolism,Levetiracetam,D
VALPROATE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Valproate. MOA: Induction of metabolism,Consult prescriber,D
VENLAFAXINE,LINEZOLID,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,X
VENLAFAXINE,TRAMADOL,Increased risk of serotonin syndrome due to serotonergic effects,Consult prescriber,D
VERAPAMIL,ATORVASTATIN,Verapamil may increase the serum concentration of Atorvastatin. MOA: Inhibition of CYP3A4,Amlodipine,D
VERAPAMIL,CARBAMAZEPINE,Verapamil may increase the serum concentration of Carbamazepine. MOA: Inhibition of CYP3A4,Amlodipine,D
VERAPAMIL,DIGOXIN,Increased digoxin levels due to P-glycoprotein inhibition,Amlodipine,D
VERAPAMIL,SIMVASTATIN,Verapamil may increase the serum concentration of Simvastatin. MOA: Inhibition of CYP3A4,Pravastatin,D
VORICONAZOLE,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Voriconazole. MOA: Induction of CYP3A4,Fluconazole,X
VORICONAZOLE,PHENYTOIN,Phenytoin may decrease the serum concentration of Voriconazole. MOA: Induction of CYP3A4,Fluconazole,D
VORICONAZOLE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Voriconazole. MOA: Induction of CYP3A4,Fluconazole,X
VORICONAZOLE,SIMVASTATIN,Voriconazole may increase the serum concentration of Simvastatin. MOA: Inhibition of CYP3A4,Pravastatin,D
VORICONAZOLE,WARFARIN,Increased anticoagulant effect due to CYP2C9 inhibition,Apixaban,D
WARFARIN,ACETAMINOPHEN,Potential increase in anticoagulant effect with high doses,Ibuprofen,D
WARFARIN,ASPIRIN,Increased anticoagulant effect due to additive effects,Apixaban,D
WARFARIN,CLARITHROMYCIN,Increased anticoagulant effect due to CYP3A4 inhibition,Apixaban,D
WARFARIN,ERYTHROMYCIN,Increased anticoagulant effect due to CYP3A4 inhibition,Apixaban,D
WARFARIN,FLUCONAZOLE,Increased anticoagulant effect due to CYP2C9 inhibition,Apixaban,D
WARFARIN,ITRACONAZOLE,Increased anticoagulant effect due to CYP3A4 inhibition,Apixaban,D
WARFARIN,KETOCONAZOLE,Increased anticoagulant effect due to CYP3A4 inhibition,Apixaban,D
WARFARIN,METRONIDAZOLE,Increased anticoagulant effect due to CYP2C9 inhibition,Apixaban,D
WARFARIN,RIFAMPICIN,Rifampicin may decrease the serum concentration of Warfarin. MOA: Induction of CYP2C9,Apixaban,D
ZIDOVUDINE,LAMIVUDINE,Additive myelosuppression,Consult prescriber,D
ZINC,CIPROFLOXACIN,Chelation reducing ciprofloxacin absorption,Separate the doses,D
ZINC,LEVOFLOXACIN,Chelation reducing levofloxacin absorption,Separate the doses,D
ZOLPIDEM,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Zolpidem. MOA: Induction of CYP3A4,Lorazepam,D
ZOLPIDEM,PHENYTOIN,Phenytoin may decrease the serum concentration of Zolpidem. MOA: Induction of CYP3A4,Lorazepam,D
ZOLPIDEM,RIFAMPICIN,Rifampicin may decrease the serum concentration of Zolpidem. MOA: Induction of CYP3A4,Consult prescriber,D
